Student ID,Student Name,Term,Class,Predicted Outcome,Likelihood of Passing (%),Risk Level,CA Progress (%),Overall Score (%),Attendance (%),Subjects at Risk,Main Issue,Recommended Action
STU_0001,Student 0001,2026_T1,JSS2,Pass,93.5,Low,76.9,76.9,64.9,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0002,Student 0002,2026_T1,SS2,Pass,94.6,Low,78.1,78.1,65.2,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0003,Student 0003,2026_T1,SS2,Pass,96.8,Low,95.8,95.8,96.7,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0004,Student 0004,2026_T1,JSS1,Pass,97.4,Low,95.3,95.3,66.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0005,Student 0005,2026_T1,SS2,Pass,97.4,Low,95.8,95.8,67.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0006,Student 0006,2026_T1,JSS3,Pass,95.6,Low,90.6,90.6,100.0,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0007,Student 0007,2026_T1,SS1,Pass,96.8,Low,95.2,95.2,89.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0008,Student 0008,2026_T1,JSS1,Pass,97.1,Low,93.1,93.1,68.4,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0009,Student 0009,2026_T1,JSS1,Pass,92.6,Low,72.1,72.1,85.4,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0010,Student 0010,2026_T1,JSS3,Fail,9.3,High,44.5,44.5,51.1,5,"Low attendance, Many failed subjects",Contact student/guardian regarding attendance. Consider counselling.
STU_0011,Student 0011,2026_T1,JSS3,Pass,96.3,Low,88.4,88.4,77.2,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0012,Student 0012,2026_T1,JSS2,Pass,55.1,Medium,60.1,60.1,55.6,0,Low attendance,Contact student/guardian regarding attendance. Consider counselling.
STU_0013,Student 0013,2026_T1,JSS1,Pass,96.6,Low,91.2,91.2,79.6,0,No major risk,Continue monitoring. No immediate intervention required.
STU_0014,Student 0014,2026_T1,JSS2,Fail,11.0,High,52.5,52.5,37.4,1,"Low attendance, Low CA",Provide targeted CA support and additional practice materials.
