Student ID,Student Name,Term,Class,avg_ca_pct,avg_overall_pct,avg_attendance,subject_failure_count,prediction_models,pass_probability,predicted_outcome,risk_tier
STU_0001,Student 0001,2026_T1,JSS2,76.875,76.875,64.89641690009337,0,"Ensemble(RF, XGBoost)",0.987668605001953,Pass,Low
STU_0002,Student 0002,2026_T1,SS2,78.08333333333333,78.08333333333333,65.20734126984127,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0003,Student 0003,2026_T1,SS2,95.75,95.75,96.67463953827206,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0004,Student 0004,2026_T1,JSS1,95.33333333333333,95.33333333333333,66.434564185333,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0005,Student 0005,2026_T1,SS2,95.79166666666667,95.79166666666667,67.39176245210727,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0006,Student 0006,2026_T1,JSS3,90.625,90.625,100.0,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0007,Student 0007,2026_T1,SS1,95.20833333333333,95.20833333333333,89.21885657446002,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0008,Student 0008,2026_T1,JSS1,93.125,93.125,68.4175722012943,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0009,Student 0009,2026_T1,JSS1,72.125,72.125,85.42023799519056,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0010,Student 0010,2026_T1,JSS3,44.541666666666664,44.541666666666664,51.10291073954403,5,"Ensemble(RF, XGBoost)",0.09213116074550332,Fail,High
STU_0011,Student 0011,2026_T1,JSS3,88.41666666666667,88.41666666666667,77.19216829273756,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0012,Student 0012,2026_T1,JSS2,60.083333333333336,60.083333333333336,55.58708931553758,0,"Ensemble(RF, XGBoost)",0.620528737971993,Pass,Medium
STU_0013,Student 0013,2026_T1,JSS1,91.25,91.25,79.57403651115618,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0014,Student 0014,2026_T1,JSS2,52.541666666666664,52.541666666666664,37.41881490782775,1,"Ensemble(RF, XGBoost)",0.02335306794134867,Fail,High
STU_0015,Student 0015,2026_T1,SS2,53.833333333333336,53.833333333333336,62.16352280623039,2,"Ensemble(RF, XGBoost)",0.1783514383227079,Fail,High
STU_0016,Student 0016,2026_T1,JSS1,97.04166666666667,97.04166666666667,77.40178571428571,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
STU_0017,Student 0017,2026_T1,JSS1,46.291666666666664,46.291666666666664,68.29236694677871,4,"Ensemble(RF, XGBoost)",0.7008938762321282,Pass,Medium
STU_0018,Student 0018,2026_T1,SS3,58.583333333333336,58.583333333333336,57.126827226660374,0,"Ensemble(RF, XGBoost)",0.5997651363656927,Pass,Medium
STU_0019,Student 0019,2026_T1,SS1,82.45833333333333,82.45833333333333,84.61785355167707,0,"Ensemble(RF, XGBoost)",0.9999961091754039,Pass,Low
